iter	Passed	Remaining
533	15687	13690
534	15715	13659
535	15749	13634
536	15780	13606
537	15810	13577
538	15841	13549
539	15874	13522
540	15905	13494
541	15935	13465
542	15967	13438
543	15999	13411
544	16031	13384
545	16063	13356
546	16094	13329
547	16127	13302
548	16161	13276
549	16196	13251
550	16231	13226
551	16264	13200
552	16297	13173
553	16330	13147
554	16362	13119
555	16394	13092
556	16428	13066
557	16461	13039
558	16493	13011
559	16525	12984
560	16557	12956
561	16589	12929
562	16624	12904
563	16662	12880
564	16698	12856
565	16730	12828
566	16761	12800
567	16796	12774
568	16829	12748
569	16861	12719
570	16894	12692
571	16932	12669
572	16964	12642
573	16999	12616
574	17030	12587
575	17062	12559
576	17099	12535
577	17134	12509
578	17167	12482
579	17198	12453
580	17233	12428
581	17265	12400
582	17296	12371
583	17327	12343
584	17358	12313
585	17391	12286
586	17423	12258
587	17454	12230
588	17485	12201
589	17515	12171
590	17546	12142
591	17639	12157
592	17673	12129
593	17706	12102
594	17739	12074
595	17772	12046
596	17803	12017
597	17835	11989
598	17865	11960
599	17897	11931
600	17927	11902
601	17959	11873
602	17990	11844
603	18021	11815
604	18052	11786
605	18083	11757
606	18116	11729
607	18147	11700
608	18179	11671
609	18212	11643
610	18245	11616
611	18280	11589
612	18311	11560
613	18341	11530
614	18373	11502
615	18406	11473
616	18437	11445
617	18470	11417
618	18501	11387
619	18530	11357
620	18562	11328
621	18594	11300
622	18627	11271
623	18660	11243
624	18689	11213
625	18724	11186
626	18757	11158
627	18791	11131
628	18824	11102
629	18855	11074
630	18887	11044
631	18916	11014
632	18949	10986
633	18980	10957
634	19013	10928
635	19045	10900
636	19077	10871
637	19173	10879
638	19209	10852
639	19240	10822
640	19273	10794
641	19304	10765
642	19335	10735
643	19364	10704
644	19399	10677
645	19430	10647
646	19462	10618
647	19493	10589
648	19524	10559
649	19555	10529
650	19587	10500
651	19619	10471
652	19654	10444
653	19688	10416
654	19722	10388
655	19757	10360
656	19788	10330
657	19818	10300
658	19847	10270
659	19878	10240
660	19910	10211
661	19941	10181
662	19971	10151
663	20005	10123
664	20039	10094
665	20076	10068
666	20112	10041
667	20145	10012
668	20177	9983
669	20209	9954
670	20242	9925
671	20275	9896
672	20307	9867
673	20340	9838
674	20372	9809
675	20405	9780
676	20437	9750
677	20469	9721
678	20502	9692
679	20534	9663
680	20567	9634
681	20598	9604
682	20630	9575
683	20661	9545
684	20691	9515
685	20722	9485
686	20754	9455
687	20785	9425
688	20817	9396
689	20847	9366
690	20878	9336
691	20908	9305
692	20939	9276
693	20971	9246
694	21003	9217
695	21035	9188
696	21066	9157
697	21097	9128
698	21127	9098
699	21159	9068
700	21191	9038
701	21222	9009
702	21254	8979
703	21285	8949
704	21318	8920
705	21351	8891
706	21381	8861
707	21415	8832
708	21445	8802
709	21478	8772
710	21508	8742
711	21539	8712
712	21571	8682
713	21601	8652
714	21632	8622
715	21663	8592
716	21695	8563
717	21728	8534
718	21760	8504
719	21792	8474
720	21822	8444
721	21854	8414
722	21884	8384
723	21917	8355
724	21948	8325
725	21979	8295
726	22012	8266
727	22044	8236
728	22076	8206
729	22107	8176
730	22137	8146
731	22167	8116
732	22198	8085
733	22229	8056
734	22260	8025
735	22292	7996
736	22322	7965
737	22352	7935
738	22383	7905
739	22412	7874
740	22445	7845
741	22475	7814
742	22506	7784
743	22535	7754
744	22567	7724
745	22599	7694
746	22629	7664
747	22662	7634
748	22693	7604
749	22725	7575
750	22758	7545
751	22789	7515
752	22820	7485
753	22850	7455
754	22882	7425
755	22912	7395
756	22942	7364
757	22975	7335
758	23008	7305
759	23041	7276
760	23073	7246
761	23104	7216
762	23135	7186
763	23169	7157
764	23202	7127
765	23236	7098
766	23269	7068
767	23304	7039
768	23335	7009
769	23369	6980
770	23403	6951
771	23435	6921
772	23468	6891
773	23501	6862
774	23532	6831
775	23564	6802
776	23599	6772
777	23632	6743
778	23664	6713
779	23697	6683
780	23729	6653
781	23760	6623
782	23790	6593
783	23823	6563
784	23856	6533
785	23888	6504
786	23923	6474
787	23956	6445
788	23990	6415
789	24023	6386
790	24057	6356
791	24089	6326
792	24121	6296
793	24155	6267
794	24187	6236
795	24219	6206
796	24252	6177
797	24284	6147
798	24317	6117
799	24351	6087
800	24384	6057
801	24415	6027
802	24447	5997
803	24480	5967
804	24511	5937
805	24542	5907
806	24573	5876
807	24603	5846
808	24635	5816
809	24665	5785
810	24695	5755
811	24727	5725
812	24759	5694
813	24791	5664
814	24821	5634
815	24852	5604
816	24884	5573
817	24915	5543
818	24955	5515
819	24990	5485
820	25023	5455
821	25059	5426
822	25098	5397
823	25133	5368
824	25167	5338
825	25202	5309
826	25236	5279
827	25268	5249
828	25301	5218
829	25333	5188
830	25364	5158
831	25398	5128
832	25430	5098
833	25462	5068
834	25496	5038
835	25528	5008
836	25562	4978
837	25596	4948
838	25629	4918
839	25662	4888
840	25693	4857
841	25725	4827
842	25759	4797
843	25791	4767
844	25821	4736
845	25853	4706
846	25883	4675
847	25915	4645
848	25948	4615
849	25979	4584
850	26012	4554
851	26045	4524
852	26077	4493
853	26110	4463
854	26140	4433
855	26170	4402
856	26202	4372
857	26233	4341
858	26266	4311
859	26296	4280
860	26328	4250
861	26360	4220
862	26390	4189
863	26423	4159
864	26454	4128
865	26486	4098
866	26518	4068
867	26550	4037
868	26580	4006
869	26613	3976
870	26644	3946
871	26676	3915
872	26707	3885
873	26774	3859
874	26806	3829
875	26838	3799
876	26870	3768
877	26902	3738
878	26934	3707
879	26965	3677
880	26997	3646
881	27028	3616
882	27059	3585
883	27089	3554
884	27119	3524
885	27150	3493
886	27181	3462
887	27213	3432
888	27243	3401
889	27273	3370
890	27305	3340
891	27336	3309
892	27368	3279
893	27400	3248
894	27432	3218
895	27511	3193
896	27543	3162
897	27573	3131
898	27604	3101
899	27634	3070
900	27666	3039
901	27697	3009
902	27727	2978
903	27758	2947
904	27789	2917
905	27818	2886
906	27849	2855
907	27881	2825
908	27914	2794
909	27947	2764
910	27980	2733
911	28013	2703
912	28044	2672
913	28075	2641
914	28106	2610
915	28136	2580
916	28166	2549
917	28200	2519
918	28232	2488
919	28263	2457
920	28295	2427
921	28328	2396
922	28360	2365
923	28390	2335
924	28421	2304
925	28453	2273
926	28483	2243
927	28514	2212
928	28544	2181
929	28577	2150
930	28609	2120
931	28641	2089
932	28671	2058
933	28705	2028
934	28737	1997
935	28768	1967
936	28799	1936
937	28830	1905
938	28861	1874
939	28891	1844
940	28923	1813
941	28956	1782
942	28988	1752
943	29018	1721
944	29048	1690
945	29079	1659
946	29111	1629
947	29142	1598
948	29174	1567
949	29206	1537
950	29238	1506
951	29270	1475
952	29304	1445
953	29338	1414
954	29369	1383
955	29401	1353
956	29434	1322
957	29465	1291
958	29496	1261
959	29528	1230
960	29558	1199
961	29590	1168
962	29628	1138
963	29661	1107
964	29693	1076
965	29727	1046
966	29758	1015
967	29792	984
968	29826	954
969	29859	923
970	29891	892
971	29924	862
972	29957	831
973	29989	800
974	30024	769
975	30057	739
976	30091	708
977	30124	677
978	30157	646
979	30189	616
980	30222	585
981	30254	554
982	30287	523
983	30320	493
984	30352	462
985	30384	431
986	30417	400
987	30450	369
988	30482	339
989	30515	308
990	30547	277
991	30581	246
992	30615	215
993	30646	184
994	30677	154
995	30708	123
996	30740	92
997	30771	61
998	30802	30
999	30837	0
